Order_ID,Order_Amount,Customer_ID,Employee_ID,Order_Date,Required_Date,Ship_Date,Courier_Website,Courier,Shipped,PO_No,Payment_Received
1121,851.77,53,9,01/01/2022,03/01/2022,01/01/2022,http://www.usps.com,Parcel Post,TRUE,,TRUE
1122,1025.4,12,6,01/01/2022,11/01/2022,08/01/2022,http://www.loomis.com,Loomis,TRUE,3243,TRUE
1123,5219.55,11,3,02/01/2022,11/01/2022,02/01/2022,,Pickup,TRUE,,TRUE
1124,59.7,34,4,02/01/2022,13/01/2022,09/01/2022,http://www.purolator.com,Purolator,TRUE,,TRUE
1125,75.42,36,9,02/01/2022,08/01/2022,03/01/2022,http://www.ups.com,UPS,TRUE,,TRUE
1126,3842.55,65,9,02/01/2022,09/01/2022,02/01/2022,http://www.ups.com,UPS,TRUE,,TRUE
1127,520.35,71,7,02/01/2022,11/01/2022,10/01/2022,,Pickup,TRUE,1061,TRUE
1128,65.7,55,3,02/01/2022,04/01/2022,03/01/2022,http://www.ups.com,UPS,TRUE,5500,TRUE
1129,2997.25,15,1,02/01/2022,10/01/2022,02/01/2022,http://www.usps.com,Parcel Post,TRUE,,TRUE
1130,23.5,10,1,03/01/2022,05/01/2022,04/01/2022,www.fedex.com,FedEx,TRUE,6847,TRUE
1131,357.41,68,6,03/01/2022,11/01/2022,04/01/2022,http://www.ups.com,UPS,TRUE,8868,TRUE
1132,38.98,33,7,04/01/2022,17/01/2022,08/01/2022,http://www.usps.com,Parcel Post,TRUE,,TRUE
1133,43.5,30,1,04/01/2022,16/01/2022,10/01/2022,http://www.usps.com,Parcel Post,TRUE,7474,TRUE
1134,43.8,67,9,05/01/2022,07/01/2022,06/01/2022,,Pickup,TRUE,1014,TRUE
1135,2584.85,26,6,05/01/2022,11/01/2022,07/01/2022,http://www.loomis.com,Loomis,TRUE,,TRUE
1136,3209.53,13,6,05/01/2022,18/01/2022,05/01/2022,,Pickup,TRUE,1719,TRUE
1137,6040.95,69,4,05/01/2022,15/01/2022,05/01/2022,http://www.purolator.com,Purolator,TRUE,1489,TRUE
1138,79.62,50,4,05/01/2022,12/01/2022,10/01/2022,http://www.usps.com,Parcel Post,TRUE,9121,TRUE
1139,2654.56,71,6,05/01/2022,13/01/2022,07/01/2022,http://www.usps.com,Parcel Post,TRUE,7995,TRUE
1140,27,52,1,06/01/2022,15/01/2022,11/01/2022,http://www.loomis.com,Loomis,TRUE,6854,TRUE
1141,21.6,67,9,06/01/2022,08/01/2022,06/01/2022,http://www.ups.com,UPS,TRUE,,TRUE
1142,1127.42,45,7,06/01/2022,06/01/2022,06/01/2022,http://www.usps.com,Parcel Post,TRUE,,TRUE
1143,62.33,1,1,06/01/2022,09/01/2022,08/01/2022,www.fedex.com,FedEx,TRUE,,TRUE
1144,1529.7,52,4,06/01/2022,07/01/2022,06/01/2022,www.fedex.com,FedEx,TRUE,,TRUE
1145,27,2,9,06/01/2022,18/01/2022,17/01/2022,http://www.usps.com,Parcel Post,TRUE,,TRUE
1146,1071.06,50,7,06/01/2022,12/01/2022,11/01/2022,http://www.ups.com,UPS,TRUE,6317,TRUE
1147,1830.35,54,6,06/01/2022,12/01/2022,10/01/2022,http://www.purolator.com,Purolator,TRUE,1641,TRUE
1148,157.11,68,3,07/01/2022,17/01/2022,12/01/2022,,Pickup,TRUE,,TRUE
1149,329.85,48,9,07/01/2022,15/01/2022,10/01/2022,http://www.usps.com,Parcel Post,TRUE,9744,TRUE
1150,83.8,51,7,08/01/2022,17/01/2022,09/01/2022,,Pickup,TRUE,,TRUE
1151,5879.7,14,3,08/01/2022,08/01/2022,08/01/2022,http://www.usps.com,Parcel Post,TRUE,,TRUE
1152,27,43,1,09/01/2022,18/01/2022,10/01/2022,http://www.purolator.com,Purolator,TRUE,7417,TRUE
1153,72,19,4,09/01/2022,14/01/2022,09/01/2022,,Pickup,TRUE,,TRUE
1154,1709.72,26,1,09/01/2022,12/01/2022,09/01/2022,http://www.usps.com,Parcel Post,TRUE,7299,TRUE
1155,5219.55,44,1,10/01/2022,16/01/2022,12/01/2022,www.fedex.com,FedEx,TRUE,,TRUE
1156,3269.7,74,6,10/01/2022,18/01/2022,15/01/2022,http://www.ups.com,UPS,TRUE,,TRUE
1157,31,17,4,10/01/2022,15/01/2022,13/01/2022,http://www.purolator.com,Purolator,TRUE,9042,TRUE
1158,9,39,1,10/01/2022,16/01/2022,15/01/2022,www.fedex.com,FedEx,TRUE,,TRUE
1159,8910.95,43,3,10/01/2022,22/01/2022,16/01/2022,http://www.usps.com,Parcel Post,TRUE,1750,TRUE
1160,5219.55,74,9,11/01/2022,20/01/2022,13/01/2022,http://www.ups.com,UPS,TRUE,3421,TRUE
1161,1799.7,6,9,11/01/2022,18/01/2022,15/01/2022,http://www.usps.com,Parcel Post,TRUE,,TRUE
1162,46.5,22,3,12/01/2022,18/01/2022,15/01/2022,http://www.loomis.com,Loomis,TRUE,6952,TRUE
1163,31,20,9,12/01/2022,22/01/2022,21/01/2022,www.fedex.com,FedEx,TRUE,7318,TRUE
1164,66.99,36,9,12/01/2022,18/01/2022,17/01/2022,www.fedex.com,FedEx,TRUE,,TRUE
1165,3712.6,58,1,12/01/2022,13/01/2022,12/01/2022,http://www.usps.com,Parcel Post,TRUE,8882,TRUE
1166,67.8,49,1,12/01/2022,24/01/2022,22/01/2022,http://www.usps.com,Parcel Post,TRUE,8014,TRUE
1167,9353.3,26,6,13/01/2022,25/01/2022,23/01/2022,http://www.ups.com,UPS,TRUE,6535,TRUE
1168,659.7,65,1,13/01/2022,26/01/2022,21/01/2022,http://www.usps.com,Parcel Post,TRUE,,TRUE
1169,664,39,4,14/01/2022,24/01/2022,17/01/2022,http://www.ups.com,UPS,TRUE,5068,TRUE
1170,781.35,30,7,14/01/2022,22/01/2022,16/01/2022,http://www.purolator.com,Purolator,TRUE,,TRUE
1171,479.85,2,7,14/01/2022,14/01/2022,14/01/2022,http://www.ups.com,UPS,TRUE,6520,TRUE
1172,101.7,38,9,14/01/2022,23/01/2022,17/01/2022,http://www.loomis.com,Loomis,TRUE,2856,TRUE
1173,67.8,36,1,15/01/2022,23/01/2022,22/01/2022,http://www.usps.com,Parcel Post,TRUE,9083,TRUE
1174,108.95,76,4,15/01/2022,27/01/2022,18/01/2022,http://www.loomis.com,Loomis,TRUE,5128,TRUE
1175,33,57,7,15/01/2022,16/01/2022,15/01/2022,http://www.usps.com,Parcel Post,TRUE,2215,TRUE
1176,101.7,54,9,15/01/2022,19/01/2022,15/01/2022,www.fedex.com,FedEx,TRUE,,TRUE
1177,10886.79,24,3,15/01/2022,18/01/2022,16/01/2022,www.fedex.com,FedEx,TRUE,5937,TRUE
1178,989.55,18,6,15/01/2022,26/01/2022,17/01/2022,http://www.purolator.com,Purolator,TRUE,8474,TRUE
1179,329.85,54,6,15/01/2022,17/01/2022,16/01/2022,www.fedex.com,FedEx,TRUE,,TRUE
1180,67.8,45,1,15/01/2022,17/01/2022,16/01/2022,www.fedex.com,FedEx,TRUE,4115,TRUE
1181,5912.96,5,7,15/01/2022,21/01/2022,16/01/2022,http://www.ups.com,UPS,TRUE,,TRUE
1182,161.7,67,9,15/01/2022,18/01/2022,15/01/2022,http://www.ups.com,UPS,TRUE,4641,TRUE
1183,36,12,3,15/01/2022,26/01/2022,20/01/2022,http://www.loomis.com,Loomis,TRUE,,TRUE
1184,1146.45,33,6,15/01/2022,24/01/2022,21/01/2022,http://www.usps.com,Parcel Post,TRUE,2975,TRUE
1185,3371.25,45,7,15/01/2022,24/01/2022,15/01/2022,http://www.usps.com,Parcel Post,TRUE,,TRUE
1186,1110.7,10,4,15/01/2022,21/01/2022,16/01/2022,http://www.purolator.com,Purolator,TRUE,1802,TRUE
1187,959.7,33,4,15/01/2022,21/01/2022,16/01/2022,http://www.usps.com,Parcel Post,TRUE,,TRUE
1188,67.8,27,3,15/01/2022,28/01/2022,15/01/2022,http://www.ups.com,UPS,TRUE,,TRUE
1189,110.3,52,7,15/01/2022,21/01/2022,18/01/2022,www.fedex.com,FedEx,TRUE,2091,TRUE
