OrderID,ProductID,UnitPrice,Quantity,CostPrice,TotalLinePrice,TotalLineCost
1001,2201,41.9,1,25.5,41.9,25.5
1002,5205,33.9,3,21.14,101.7,63.42
1002,102181,1652.86,3,1444.08,4958.58,4332.24
1003,2213,48.51,3,44.74,145.53,134.22
1003,5402,13.78,3,12.04,41.34,36.12
1004,402002,274.35,3,199.99,823.05,599.97
1005,1101,14.5,2,12.04,29,24.08
1006,1107,16.5,1,15,16.5,15
1006,5208,33.9,1,21.14,33.9,21.14
1006,5402,14.5,1,12.04,14.5,12.04
1007,1109,16.5,3,15,49.5,45
1008,301161,726.61,2,634.83,1453.22,1269.66
1008,302201,431.87,1,398.28,431.87,398.28
1008,303201,329.85,1,260.23,329.85,260.23
1009,1101,14.5,2,12.04,29,24.08
1010,101182,2939.85,3,2000.5,8819.55,6001.5
1010,101201,2645.87,2,2000.5,5291.74,4001
1010,401001,253.67,3,233.94,761.01,701.82
1011,1102,14.5,2,12.04,29,24.08
1012,101171,2939.85,1,2000.5,2939.85,2000.5
1012,101172,2939.85,2,2000.5,5879.7,4001
1012,302221,479.85,3,398.28,1439.55,1194.84
1013,3305,20.81,3,18.18,62.43,54.54
1013,202161,539.85,2,448.08,1079.7,896.16
1014,1103,14.5,2,12.04,29,24.08
1015,1104,14.5,3,12.04,43.5,36.12
1016,401002,281.85,2,233.94,563.7,467.88
1017,7403,36,2,29.88,72,59.76
1018,1105,14.5,3,12.04,43.5,36.12
1018,7403,36,2,29.88,72,59.76
1019,1105,14.5,3,12.04,43.5,36.12
1020,5202,33.9,2,21.14,67.8,42.28
1021,6402,9,2,7.47,18,14.94
1021,102201,1739.85,3,1444.08,5219.55,4332.24
1022,101202,2792.86,1,2000.5,2792.86,2000.5
1023,303202,296.87,3,260.23,890.61,780.69
1024,1106,16.5,2,15,33,30
1025,101201,2939.85,3,2000.5,8819.55,6001.5
1026,1111,16.5,2,15,33,30
1027,1107,16.5,2,15,33,30
1027,101202,2939.85,1,2000.5,2939.85,2000.5
1028,303221,296.87,1,260.23,296.87,260.23
1029,1107,16.5,3,15,49.5,45
1030,2202,41.9,3,25.5,125.7,76.5
1030,301201,764.85,1,634.83,764.85,634.83
1031,1108,16.5,2,15,33,30
1032,101151,2939.85,3,2000.5,8819.55,6001.5
1032,101171,2939.85,1,2000.5,2939.85,2000.5
1032,401002,281.85,2,233.94,563.7,467.88
1033,1101,14.5,1,12.04,14.5,12.04
1033,1105,13.05,2,12.04,26.1,24.08
1033,102181,1739.85,2,1444.08,3479.7,2888.16
1034,1109,16.5,2,15,33,30
1035,1110,16.5,2,15,33,30
1036,102221,1739.85,1,1444.08,1739.85,1444.08
1036,402002,274.35,1,199.99,274.35,199.99
1037,1111,16.5,3,15,49.5,45
1038,103201,899.85,2,556.5,1799.7,1113
1039,2213,53.9,3,44.74,161.7,134.22
1039,202221,485.87,1,448.08,485.87,448.08
1040,2202,41.9,1,25.5,41.9,25.5
1040,401001,281.85,2,233.94,563.7,467.88
1041,301201,764.85,1,634.83,764.85,634.83
1042,2210,53.9,3,44.74,161.7,134.22
1042,5207,32.21,2,21.14,64.42,42.28
1042,5405,23.5,3,19.51,70.5,58.53
1043,301151,726.61,3,634.83,2179.83,1904.49
1044,2201,41.9,3,25.5,125.7,76.5
1045,5302,9.98,3,8.28,29.94,24.84
1045,301151,764.85,3,634.83,2294.55,1904.49
1045,302161,479.85,3,398.28,1439.55,1194.84
1046,5205,33.9,3,21.14,101.7,63.42
1046,7401,23.5,1,19.51,23.5,19.51
1046,202201,539.85,3,448.08,1619.55,1344.24
1047,5203,33.9,2,21.14,67.8,42.28
1048,303161,329.85,1,260.23,329.85,260.23
1049,1109,16.5,1,15,16.5,15
1049,5204,33.9,1,21.14,33.9,21.14
1049,102171,1739.85,1,1444.08,1739.85,1444.08
1050,102201,1739.85,1,1444.08,1739.85,1444.08
1051,2202,41.9,2,25.5,83.8,51
1051,202181,539.85,1,448.08,539.85,448.08
1052,4104,15.5,1,12.87,15.5,12.87
1052,7403,36,1,29.88,36,29.88
1052,201161,832.35,2,556.5,1664.7,1113
1053,5401,14.5,2,12.04,29,24.08
1054,2202,41.9,2,25.5,83.8,51
1054,3301,4.5,2,2.5,9,5
1054,4103,13.5,1,9.99,13.5,9.99
1055,103201,899.85,2,556.5,1799.7,1113
1055,303221,329.85,2,260.23,659.7,520.46
1056,303161,329.85,1,260.23,329.85,260.23
1057,103151,809.87,3,556.5,2429.61,1669.5
1057,303221,329.85,2,260.23,659.7,520.46
1057,402001,274.35,2,199.99,548.7,399.98
1058,303151,313.36,2,260.23,626.72,520.46
1058,401002,281.85,3,233.94,845.55,701.82
1059,5202,33.9,2,21.14,67.8,42.28
1059,303202,296.87,1,260.23,296.87,260.23
1060,1110,16.5,2,15,33,30
1060,4106,15.5,3,12.87,46.5,38.61
1060,5202,33.9,1,21.14,33.9,21.14
1061,2202,41.9,2,25.5,83.8,51
1062,3305,21.9,3,18.18,65.7,54.54
1063,201221,832.35,3,556.5,2497.05,1669.5
1064,2213,48.51,1,44.74,48.51,44.74
1065,4105,15.5,2,12.87,31,25.74
1065,301201,764.85,1,634.83,764.85,634.83
1065,302221,479.85,1,398.28,479.85,398.28
1066,2215,53.9,3,44.74,161.7,134.22
1067,4106,14.73,3,12.87,44.19,38.61
1067,303222,329.85,1,260.23,329.85,260.23
1068,2203,41.9,2,25.5,83.8,51
1069,201181,749.12,2,556.5,1498.24,1113
1070,102171,1739.85,2,1444.08,3479.7,2888.16
1071,301151,726.61,3,634.83,2179.83,1904.49
1071,301221,764.85,1,634.83,764.85,634.83
1071,402001,246.92,3,199.99,740.76,599.97
1072,7402,23.5,2,19.51,47,39.02
1073,2205,41.9,3,25.5,125.7,76.5
1073,2212,53.9,3,44.74,161.7,134.22
1073,301161,764.85,1,634.83,764.85,634.83
1074,2206,41.9,3,25.5,125.7,76.5
1074,302161,479.85,1,398.28,479.85,398.28
1075,2204,41.9,3,25.5,125.7,76.5
1076,201161,790.73,3,556.5,2372.19,1669.5
1076,303182,329.85,2,260.23,659.7,520.46
1076,402002,274.35,2,199.99,548.7,399.98
1077,2205,41.9,2,25.5,83.8,51
1078,5401,14.5,2,12.04,29,24.08
1079,2206,41.9,2,25.5,83.8,51
1080,1106,16.5,2,15,33,30
1080,303182,296.87,3,260.23,890.61,780.69
1081,5401,14.5,3,12.04,43.5,36.12
1081,202161,539.85,2,448.08,1079.7,896.16
1082,4105,15.5,3,12.87,46.5,38.61
1082,303152,329.85,1,260.23,329.85,260.23
1083,7404,36,1,29.88,36,29.88
1084,402001,274.35,2,199.99,548.7,399.98
1085,301161,764.85,1,634.83,764.85,634.83
1086,1104,14.5,2,12.04,29,24.08
1086,3304,19.71,2,18.18,39.42,36.36
1086,301221,764.85,3,634.83,2294.55,1904.49
1087,2214,51.21,1,44.74,51.21,44.74
1087,302202,479.85,3,398.28,1439.55,1194.84
1088,103221,899.85,1,556.5,899.85,556.5
1088,303152,329.85,3,260.23,989.55,780.69
1089,2215,53.9,3,44.74,161.7,134.22
1089,5404,23.5,1,19.51,23.5,19.51
1090,301201,764.85,2,634.83,1529.7,1269.66
1091,2207,53.9,3,44.74,161.7,134.22
1092,1111,16.5,2,15,33,30
1092,3301,4.5,2,2.5,9,5
1093,2208,53.9,2,44.74,107.8,89.48
1094,2209,53.9,3,44.74,161.7,134.22
1095,5204,30.51,2,21.14,61.02,42.28
1095,302181,479.85,1,398.28,479.85,398.28
1095,303182,329.85,3,260.23,989.55,780.69
1096,4105,15.5,1,12.87,15.5,12.87
1096,5301,10.71,3,9.88,32.13,29.64
1097,302201,479.85,3,398.28,1439.55,1194.84
1098,2204,37.71,1,25.5,37.71,25.5
1098,102151,1739.85,2,1444.08,3479.7,2888.16
1098,301201,764.85,3,634.83,2294.55,1904.49
1099,1101,13.05,2,12.04,26.1,24.08
1100,2210,53.9,2,44.74,107.8,89.48
1101,2204,41.9,3,25.5,125.7,76.5
1101,5204,33.9,1,21.14,33.9,21.14
1101,402002,274.35,3,199.99,823.05,599.97
1102,303202,329.85,3,260.23,989.55,780.69
1103,2211,53.9,2,44.74,107.8,89.48
1104,2204,39.81,3,25.5,119.43,76.5
1104,202181,539.85,2,448.08,1079.7,896.16
1105,2212,53.9,3,44.74,161.7,134.22
1106,3305,21.9,3,18.18,65.7,54.54
1106,103171,854.86,3,556.5,2564.58,1669.5
1107,2213,53.9,2,44.74,107.8,89.48
1108,102221,1739.85,3,1444.08,5219.55,4332.24
1109,1110,16.5,1,15,16.5,15
1109,5302,9.48,1,8.28,9.48,8.28
1110,2214,53.9,3,44.74,161.7,134.22
1111,2214,53.9,3,44.74,161.7,134.22
1112,2215,53.9,3,44.74,161.7,134.22
1113,201221,832.35,2,556.5,1664.7,1113
1114,2209,53.9,3,44.74,161.7,134.22
1115,3301,4.5,2,2.5,9,5
1116,3305,21.9,3,18.18,65.7,54.54
1116,4103,13.5,3,9.99,40.5,29.97
1116,303181,329.85,3,260.23,989.55,780.69
1117,101152,2939.85,2,2000.5,5879.7,4001
1117,303162,329.85,2,260.23,659.7,520.46
1118,1106,16.5,3,15,49.5,45
1119,3302,17.5,2,10.25,35,20.5
1120,1111,16.5,2,15,33,30
1120,2202,41.9,1,25.5,41.9,25.5
1121,2206,41.9,1,25.5,41.9,25.5
1121,103181,809.87,1,556.5,809.87,556.5
1122,3305,21.9,3,18.18,65.7,54.54
1122,302182,479.85,2,398.28,959.7,796.56
1123,102171,1739.85,3,1444.08,5219.55,4332.24
1124,3303,19.9,3,14.5,59.7,43.5
1125,3305,19.71,2,18.18,39.42,36.36
1125,7403,36,1,29.88,36,29.88
1126,1108,16.5,2,15,33,30
1126,102181,1739.85,2,1444.08,3479.7,2888.16
1126,303181,329.85,1,260.23,329.85,260.23
1127,4103,13.5,3,9.99,40.5,29.97
1127,302202,479.85,1,398.28,479.85,398.28
1128,3304,21.9,3,18.18,65.7,54.54
1129,5205,33.9,1,21.14,33.9,21.14
1129,5404,23.5,1,19.51,23.5,19.51
1129,101221,2939.85,1,2000.5,2939.85,2000.5
1130,7402,23.5,1,19.51,23.5,19.51
1131,1101,13.78,2,12.04,27.56,24.08
1131,303201,329.85,1,260.23,329.85,260.23
1132,1105,14.5,2,12.04,29,24.08
1132,5302,9.98,1,8.28,9.98,8.28
1133,5402,14.5,3,12.04,43.5,36.12
1134,3305,21.9,2,18.18,43.8,36.36
1135,2212,53.9,1,44.74,53.9,44.74
1135,5201,33.9,1,21.14,33.9,21.14
1135,201161,832.35,3,556.5,2497.05,1669.5
1136,2210,53.9,2,44.74,107.8,89.48
1136,101221,2645.87,1,2000.5,2645.87,2000.5
1136,302161,455.86,1,398.28,455.86,398.28
1137,2212,53.9,3,44.74,161.7,134.22
1137,102181,1739.85,3,1444.08,5219.55,4332.24
1137,303202,329.85,2,260.23,659.7,520.46
1138,2202,39.81,2,25.5,79.62,51
1139,103151,854.86,1,556.5,854.86,556.5
1139,103221,899.85,2,556.5,1799.7,1113
1140,4101,13.5,2,9.99,27,19.98
1141,6401,10.8,2,9.96,21.6,19.92
1142,5208,33.9,3,21.14,101.7,63.42
1142,202181,512.86,2,448.08,1025.72,896.16
1143,1107,16.5,3,15,49.5,45
1143,4102,12.83,1,9.99,12.83,9.99
1144,301151,764.85,2,634.83,1529.7,1269.66
1145,4102,13.5,2,9.99,27,19.98
1146,1103,13.78,2,12.04,27.56,24.08
1146,2203,41.9,2,25.5,83.8,51
1146,302162,479.85,2,398.28,959.7,796.56
1147,1102,14.5,3,12.04,43.5,36.12
1147,7401,23.5,2,19.51,47,39.02
1147,102171,1739.85,1,1444.08,1739.85,1444.08
1148,1108,16.5,3,15,49.5,45
1148,2203,39.81,1,25.5,39.81,25.5
1148,5205,33.9,2,21.14,67.8,42.28
1149,303161,329.85,1,260.23,329.85,260.23
1150,2204,41.9,2,25.5,83.8,51
1151,101201,2939.85,2,2000.5,5879.7,4001
1152,4103,13.5,2,9.99,27,19.98
1153,7404,36,2,29.88,72,59.76
1154,103221,854.86,2,556.5,1709.72,1113
1155,102201,1739.85,3,1444.08,5219.55,4332.24
1156,101152,2939.85,1,2000.5,2939.85,2000.5
1156,303201,329.85,1,260.23,329.85,260.23
1157,4104,15.5,2,12.87,31,25.74
1158,3301,4.5,2,2.5,9,5
1159,1106,16.5,3,15,49.5,45
1159,2202,41.9,1,25.5,41.9,25.5
1159,101172,2939.85,3,2000.5,8819.55,6001.5
1160,102201,1739.85,3,1444.08,5219.55,4332.24
1161,103201,899.85,2,556.5,1799.7,1113
1162,4105,15.5,3,12.87,46.5,38.61
1163,4106,15.5,2,12.87,31,25.74
1164,5405,22.33,3,19.51,66.99,58.53
1165,7402,23.5,1,19.51,23.5,19.51
1165,103151,899.85,3,556.5,2699.55,1669.5
1165,303202,329.85,3,260.23,989.55,780.69
1166,5201,33.9,2,21.14,67.8,42.28
1167,2209,53.9,1,44.74,53.9,44.74
1167,101152,2939.85,3,2000.5,8819.55,6001.5
1167,302201,479.85,1,398.28,479.85,398.28
1168,303152,329.85,2,260.23,659.7,520.46
1169,2207,53.9,2,44.74,107.8,89.48
1169,401001,281.85,1,233.94,281.85,233.94
1169,402002,274.35,1,199.99,274.35,199.99
1170,1109,16.5,1,15,16.5,15
1170,301161,764.85,1,634.83,764.85,634.83
1171,302161,479.85,1,398.28,479.85,398.28
1172,5202,33.9,3,21.14,101.7,63.42
1173,5203,33.9,2,21.14,67.8,42.28
1174,1103,14.5,2,12.04,29,24.08
1174,4102,12.15,1,9.99,12.15,9.99
1174,5205,33.9,2,21.14,67.8,42.28
1175,1107,16.5,2,15,33,30
1176,5204,33.9,3,21.14,101.7,63.42
1177,2208,48.51,1,44.74,48.51,44.74
1177,101171,2939.85,2,2000.5,5879.7,4001
1177,102201,1652.86,3,1444.08,4958.58,4332.24
1178,303161,329.85,3,260.23,989.55,780.69
1179,303222,329.85,1,260.23,329.85,260.23
1180,5205,33.9,2,21.14,67.8,42.28
1181,3302,16.63,2,10.25,33.26,20.5
1181,101171,2939.85,2,2000.5,5879.7,4001
1182,2214,53.9,3,44.74,161.7,134.22
1183,7403,36,1,29.88,36,29.88
1184,2207,53.9,3,44.74,161.7,134.22
1184,2214,53.9,3,44.74,161.7,134.22
1184,402002,274.35,3,199.99,823.05,599.97
1185,5205,33.9,3,21.14,101.7,63.42
1185,102171,1739.85,1,1444.08,1739.85,1444.08
1185,301181,764.85,2,634.83,1529.7,1269.66
1186,4106,15.5,2,12.87,31,25.74
1186,202161,539.85,2,448.08,1079.7,896.16
1187,302182,479.85,2,398.28,959.7,796.56
1188,5206,33.9,2,21.14,67.8,42.28
1189,1105,14.5,2,12.04,29,24.08
1189,4103,13.5,1,9.99,13.5,9.99
1189,5205,33.9,2,21.14,67.8,42.28
1190,1108,16.5,3,15,49.5,45
1190,302202,479.85,3,398.28,1439.55,1194.84
1190,303222,329.85,3,260.23,989.55,780.69
1191,202201,539.85,2,448.08,1079.7,896.16
1191,303202,329.85,1,260.23,329.85,260.23
1192,2210,53.9,2,44.74,107.8,89.48
1192,103201,899.85,2,556.5,1799.7,1113
1192,202201,539.85,2,448.08,1079.7,896.16
1193,5207,33.9,3,21.14,101.7,63.42
1194,1110,16.5,1,15,16.5,15
1195,2211,53.9,3,44.74,161.7,134.22
1195,5202,30.51,3,21.14,91.53,63.42
1195,5401,13.05,1,12.04,13.05,12.04
1196,5205,33.9,3,21.14,101.7,63.42
1196,302201,479.85,3,398.28,1439.55,1194.84
1196,303222,313.36,1,260.23,313.36,260.23
1197,101202,2939.85,2,2000.5,5879.7,4001
1198,303162,329.85,1,260.23,329.85,260.23
1199,5208,33.9,2,21.14,67.8,42.28
1200,5301,11.9,3,9.88,35.7,29.64
1201,5302,9.98,3,8.28,29.94,24.84
1202,5202,33.9,2,21.14,67.8,42.28
1202,202181,539.85,2,448.08,1079.7,896.16
1203,1103,14.5,1,12.04,14.5,12.04
1204,7401,23.5,1,19.51,23.5,19.51
1204,103171,899.85,1,556.5,899.85,556.5
1204,303221,329.85,2,260.23,659.7,520.46
1205,5303,37.9,2,31.46,75.8,62.92
1206,2208,53.9,3,44.74,161.7,134.22
1206,303222,329.85,1,260.23,329.85,260.23
1207,1101,14.5,1,12.04,14.5,12.04
1208,202221,539.85,3,448.08,1619.55,1344.24
1209,5401,14.5,3,12.04,43.5,36.12
1210,2206,41.9,1,25.5,41.9,25.5
1210,5205,33.9,2,21.14,67.8,42.28
1211,5402,14.5,3,12.04,43.5,36.12
1212,7402,23.5,3,19.51,70.5,58.53
1213,202201,539.85,3,448.08,1619.55,1344.24
1214,5303,37.9,1,31.46,37.9,31.46
1214,301151,764.85,1,634.83,764.85,634.83
1214,401002,281.85,1,233.94,281.85,233.94
1215,5403,14.5,3,12.04,43.5,36.12
1216,201221,749.12,1,556.5,749.12,556.5
1217,5402,14.5,3,12.04,43.5,36.12
1217,101201,2939.85,1,2000.5,2939.85,2000.5
1217,202161,539.85,3,448.08,1619.55,1344.24
1218,303151,329.85,3,260.23,989.55,780.69
1219,5404,23.5,3,19.51,70.5,58.53
1220,101221,2939.85,2,2000.5,5879.7,4001
1221,1110,16.5,3,15,49.5,45
1221,101222,2645.87,2,2000.5,5291.74,4001
1222,2206,37.71,2,25.5,75.42,51
1222,2207,53.9,3,44.74,161.7,134.22
1222,101202,2939.85,2,2000.5,5879.7,4001
1223,2203,39.81,3,25.5,119.43,76.5
1223,7402,23.5,1,19.51,23.5,19.51
1223,102171,1739.85,3,1444.08,5219.55,4332.24
1224,5405,23.5,3,19.51,70.5,58.53
1225,101151,2939.85,3,2000.5,8819.55,6001.5
1226,5301,10.71,1,9.88,10.71,9.88
1227,5201,33.9,3,21.14,101.7,63.42
1228,2213,53.9,1,44.74,53.9,44.74
1228,201221,832.35,1,556.5,832.35,556.5
1228,302162,431.87,3,398.28,1295.61,1194.84
1229,3302,17.5,1,10.25,17.5,10.25
1230,4104,15.5,1,12.87,15.5,12.87
1230,102221,1652.86,1,1444.08,1652.86,1444.08
1231,4101,13.5,2,9.99,27,19.98
1231,201161,832.35,3,556.5,2497.05,1669.5
1232,101182,2939.85,2,2000.5,5879.7,4001
1232,301181,764.85,3,634.83,2294.55,1904.49
1233,1102,13.78,1,12.04,13.78,12.04
1233,2203,41.9,3,25.5,125.7,76.5
1234,4102,13.5,1,9.99,13.5,9.99
1234,103181,854.86,2,556.5,1709.72,1113
1235,201201,832.35,1,556.5,832.35,556.5
1235,302181,479.85,1,398.28,479.85,398.28
1235,303152,329.85,1,260.23,329.85,260.23
1236,303202,329.85,3,260.23,989.55,780.69
1237,2203,41.9,3,25.5,125.7,76.5
1237,2208,53.9,2,44.74,107.8,89.48
1237,301161,764.85,1,634.83,764.85,634.83
1238,1101,14.5,1,12.04,14.5,12.04
1238,5302,9.98,2,8.28,19.96,16.56
1238,303182,329.85,3,260.23,989.55,780.69
1239,5204,33.9,3,21.14,101.7,63.42
1240,2205,41.9,3,25.5,125.7,76.5
1240,5302,9.98,3,8.28,29.94,24.84
1240,102181,1739.85,2,1444.08,3479.7,2888.16
1241,201221,832.35,2,556.5,1664.7,1113
1241,301181,764.85,3,634.83,2294.55,1904.49
1241,303181,296.87,3,260.23,890.61,780.69
1242,2210,53.9,1,44.74,53.9,44.74
1242,101182,2939.85,1,2000.5,2939.85,2000.5
1243,1104,14.5,1,12.04,14.5,12.04
1243,5303,37.9,3,31.46,113.7,94.38
1244,6401,12,2,9.96,24,19.92
1245,103151,899.85,2,556.5,1799.7,1113
1245,202161,539.85,3,448.08,1619.55,1344.24
1246,1108,14.85,3,15,44.55,45
1246,101152,2939.85,1,2000.5,2939.85,2000.5
1246,103151,899.85,1,556.5,899.85,556.5
1247,6401,12,3,9.96,36,29.88
1248,1110,14.85,2,15,29.7,30
1248,5401,14.5,2,12.04,29,24.08
1248,101151,2939.85,2,2000.5,5879.7,4001
1249,6402,9,2,7.47,18,14.94
1250,201201,832.35,3,556.5,2497.05,1669.5
1251,6403,15,3,12.45,45,37.35
1252,7401,23.5,3,19.51,70.5,58.53
1253,3301,4.05,1,2.5,4.05,2.5
1253,5206,33.9,1,21.14,33.9,21.14
1253,101172,2645.87,1,2000.5,2645.87,2000.5
1254,201181,832.35,3,556.5,2497.05,1669.5
1255,1107,16.5,2,15,33,30
1256,7402,23.5,3,19.51,70.5,58.53
1257,6402,9,2,7.47,18,14.94
1258,1104,14.5,2,12.04,29,24.08
1258,5206,33.9,1,21.14,33.9,21.14
1258,401002,281.85,1,233.94,281.85,233.94
1259,7403,36,3,29.88,108,89.64
1260,5205,33.9,1,21.14,33.9,21.14
1261,3301,4.5,2,2.5,9,5
1262,2211,53.9,3,44.74,161.7,134.22
1262,402002,274.35,3,199.99,823.05,599.97
1263,102151,1565.87,2,1444.08,3131.74,2888.16
1263,103181,899.85,1,556.5,899.85,556.5
1263,401002,281.85,2,233.94,563.7,467.88
1264,5208,32.21,1,21.14,32.21,21.14
1264,101152,2939.85,1,2000.5,2939.85,2000.5
1264,101222,2939.85,1,2000.5,2939.85,2000.5
1265,5403,14.5,2,12.04,29,24.08
1266,1107,14.85,1,15,14.85,15
1266,2201,41.9,2,25.5,83.8,51
1266,302202,479.85,3,398.28,1439.55,1194.84
1267,401001,281.85,3,233.94,845.55,701.82
1268,7404,36,2,29.88,72,59.76
1269,101171,2939.85,1,2000.5,2939.85,2000.5
1270,6401,12,3,9.96,36,29.88
1270,103151,899.85,3,556.5,2699.55,1669.5
1271,201161,832.35,1,556.5,832.35,556.5
1272,2210,48.51,1,44.74,48.51,44.74
1273,1104,14.5,1,12.04,14.5,12.04
1273,2215,51.21,3,44.74,153.63,134.22
